Model,Accuracy_NoPCA,Accuracy_PCA,Accuracy_Diff,ROC_AUC_NoPCA,ROC_AUC_PCA,ROC_AUC_Diff,Features_NoPCA,Features_PCA
Logistic Regression,0.775,0.7708333333333334,-0.004166666666666652,0.5721079192546583,0.5907414596273292,0.018633540372670843,55,33
Random Forest,0.8458333333333333,0.85,0.004166666666666652,0.7438858695652174,0.7308326863354037,-0.013053183229813747,55,33
Gradient Boosting,0.7791666666666667,0.775,-0.004166666666666652,0.6997282608695652,0.5894798136645962,-0.11024844720496896,55,33
