Model,Baseline_Accuracy,Tuned_Accuracy,Accuracy_Improvement,Baseline_ROC_AUC,Tuned_ROC_AUC,ROC_AUC_Improvement,Baseline_F1,Tuned_F1,F1_Improvement,CV_Score,Best_Parameters
Logistic Regression,0.775,0.7708333333333334,-0.004166666666666652,0.5721079192546583,0.5706521739130435,-0.0014557453416148558,0.06896551724137931,0.06779661016949153,-0.0011689070718877842,0.5598771179439945,"{'C': 100, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}"
Random Forest,0.85,0.8416666666666667,-0.008333333333333304,0.7356851708074534,0.7447593167701864,0.009074145962732927,0.5263157894736842,0.4864864864864865,-0.03982930298719767,0.758152123267413,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}"
SVM,0.7833333333333333,0.85,0.06666666666666665,0.7181677018633541,0.7480590062111802,0.029891304347826053,0.13333333333333333,0.5263157894736842,0.3929824561403509,0.7678364209160602,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}"
Gradient Boosting,0.7791666666666667,0.85,0.0708333333333333,0.6997282608695652,0.7664013975155279,0.06667313664596275,0.3116883116883117,0.55,0.23831168831168836,0.753929785798245,"{'subsample': 0.8, 'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 10, 'learning_rate': 0.05}"
